Player,Pos,Team,APY,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,IAY/PA,Bad%,Prss%,OnTgt%
James Conner,RB,ARI,"$9,500,000",,,,,,,,,,,,,,,,,,,
Bryce Young,QB,CAR,"$9,488,769",7,387.0,4.9,2.3,44.6,192.3,88.4,47.6,5.61,5.62,0.0,-6.49,7.69,7.14,2.69,6.6,17,24.6,77.1
Jayden Daniels,QB,WAS,"$9,436,663",2,188.0,4.3,1.6,44.7,180.3,88.1,45.9,8.74,5.86,-0.01,-5.83,2.7,7.99,2.62,7.2,14.9,16.7,76.4
Drake Maye,QB,NE,"$9,159,941",11,409.0,5.6,1.7,52.2,254.8,109.1,71.2,9.51,7.78,0.21,121.9,1.73,9.43,2.79,9,14.7,22.2,77.9
David Montgomery,RB,DET,"$9,125,000",,,,,,,,,,,,,,,,3.5,50,50,50
C.J. Stroud,QB,HOU,"$9,069,811",6,337.0,4.5,1.8,45.0,221.9,94.1,62.5,6.39,6.34,,,,,,8,16.8,20.8,75.2
Hunter Henry,TE,NE,"$9,000,000",,,,,,,,,,,,,,,,,,,
Jack Conklin,RT,CLE,"$9,000,000",,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,RB,NE,"$9,000,000",,,,,,,,,,,,,,,,,,,
Kevin Zeitler,RG,TEN,"$9,000,000",,,,,,,,,,,,,,,,,,,
Ryan Kelly,C,MIN,"$9,000,000",,,,,,,,,,,,,,,,,,,
Ashton Jeanty,RB,LV,"$8,973,953",,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr.,WR,ARI,"$8,843,686",,,,,,,,,,,,,,,,,,,
Mike Gesicki,TE,CIN,"$8,500,000",,,,,,,,,,,,,,,,,,,
Tyler Higbee,TE,LAR,"$8,500,000",,,,,,,,,,,,,,,,,,,
Anthony Richardson,QB,IND,"$8,498,508",nan,2.0,0.0,0.0,50.0,4.5,62.5,,0.0,4.5,-0.61,-1.21,-2.43,15.5,2.27,15.5,50,0,0
